id,order,field_key,display_name,question,new_demo_autofill
109,109,incidentCoordination,Incident Coordination,"Explain how your organization coordinates incident responses with internal teams, external stakeholders, and law enforcement when necessary.","Incident coordination is managed through our Incident Command Framework ICF, which defines communication protocols between IT, Security, Legal, Communications, and executive leadership. External stakeholder coordination is handled by the Communications team using pre-approved messaging templates and encrypted communication channels.

Law enforcement involvement is triggered for incidents involving data theft, extortion, or regulatory impact and is coordinated by the Legal and Risk teams. Engagement decisions are logged in the Incident Escalation Register and reviewed post-incident for procedural alignment."
110,110,incidentPlanUpdates,Incident Plan Updates,"Explain your organization's process for updating incident response plans, including the incorporation of recent cyber threat intelligence, actual incidents, or insights from information sharing.","Incident response plans are reviewed quarterly and updated based on lessons learned from internal incidents, tabletop simulations, and new threat intelligence gathered from external sources such as FS-ISAC and commercial feeds. Updates are tracked through the Incident Response Change Log and versioned in the Incident Management Repository.

The updated plans are communicated to all response teams, and any major revisions require re-attestation from key stakeholders. The most recent update in Q1 2025 integrated new guidance on ransomware negotiation and cloud compromise scenarios."
111,111,incidentEscalation,Incident Escalation,Describe the escalation protocols and communication strategies included in your organization's incident response program.,"Escalation protocols are defined in the Incident Escalation Matrix IEM and are based on impact level, data sensitivity, and service disruption thresholds. Each severity tier includes specific notification timelines, responsible roles, and required executive or board-level involvement.

Communication strategies include templated internal notifications via our crisis communication platform and external communications managed by Legal and Communications teams. All escalations and messages are logged in the Incident Response Tracker for auditability and post-incident analysis."
112,112,incidentRoles,Incident Roles,"Clarify how your incident response program defines roles, responsibilities, and decision-making authorities within your organization.","Roles, responsibilities, and decision-making authorities are defined in the Incident Response Role Charter IRRC v2.3. Each incident type and severity tier includes designated leads for technical response, legal review, communication, and executive oversight.

All participants are assigned incident-specific duties within the Incident Management System, and access to response tools and data is governed by pre-approved role-based permissions. Role assignments are reviewed annually and updated as part of our incident readiness program."
113,113,incidentResponse,Incident Response,Explain your organization's process for reviewing and formally approving its Incident Response Plan over the past 12 months.,"The Incident Response Plan is reviewed annually by the Security Governance Committee and approved by the executive leadership team. The review includes input from Legal, IT, Risk, and external advisors, and incorporates changes driven by incident simulations, audit feedback, and regulatory updates.

The most recent review was completed in Q1 2025 and included formal sign-off from the CISO, CIO, and General Counsel. The updated plan is published in the GRC platform with tracked changes and attestation logs."
114,114,incidentContainmentSpeed,Incident Containment Speed,Describe your organization's process for timely containment and mitigation of cybersecurity incidents.,"Cybersecurity incidents are triaged within 15 minutes of detection and containment begins immediately based on predefined playbooks. Common containment actions include isolating affected endpoints, revoking credentials, blocking IP ranges, and disabling compromised APIs.

Response timelines are tracked in the Incident Response Dashboard, and each incident is assigned a response lead responsible for ensuring SLA adherence. Containment metrics such as Mean Time to Contain MTTC are reviewed weekly by the Incident Response Team."
115,115,forensicSupport,Forensic Support,"Describe your organization's capabilities and tools to conduct or support forensic investigations of cybersecurity incidents, including related protective and detective measures.","Our organization maintains an internal Digital Forensics team equipped with industry-standard tools including EnCase, FTK, and Volatility for memory and disk analysis. Forensic readiness is built into our logging strategy, which ensures availability of logs with sufficient retention, context, and integrity.

The Incident Response Plan includes a Forensic Readiness Appendix outlining evidence handling procedures, chain-of-custody documentation, and data preservation protocols. Forensic findings are documented in case reports and reviewed during post-incident analysis."
116,116,clientIncidentNotification,Client Incident Notification,Detail your organization's incident notification process for informing clients about suspected or confirmed security incidents affecting data or services.,"Client notifications for suspected or confirmed incidents follow the Client Incident Notification Procedure CINP v2.4, which includes predefined thresholds, timelines, and approval paths for initiating external communication. Notifications are coordinated by the Incident Response Lead, Legal, and Customer Success teams.

All communications are sent via secure channels and include incident type, data potentially affected, mitigation steps, and contact details for follow-up. Notification timeliness and content accuracy are reviewed post-incident, and performance is tracked in the Client Trust Metrics dashboard."
117,117,logRetention,Log Retention,"Outline your organization's approach to maintaining immediate access to recent activity and security event logs, specifying the retention period.","Our SIEM platform retains immediate access to activity and security logs for a rolling period of 12 months, with critical event logs archived for up to 5 years based on regulatory requirements. Logs include authentication attempts, configuration changes, system access, and data handling events.

Log access is limited to authorized personnel and subject to periodic access reviews. Retrieval performance is validated quarterly through SOC-led audit simulations to ensure readiness for compliance investigations and incident response."
118,118,cyberInvestigation,Cyber Investigation,"Detail your organization's approach to thoroughly investigating cyber events, including assessing the event's nature, scope, and impact.","Cyber events are investigated using a structured workflow within our Incident Management Platform. Each event is assessed for root cause, blast radius, affected data types, and potential regulatory impact. Investigations are led by Security Analysts with support from Legal, Infrastructure, and Application teams as needed.

Findings are documented in the Cyber Event Analysis Report CEAR and reviewed during weekly IR team syncs. High-impact investigations include executive briefings and corrective action plans. Post-incident improvements are tracked through the Continuous Improvement Log."
119,119,vulnerabilityRootCause,Vulnerability Root Cause,Explain how your organization conducts root cause analysis to identify and proactively address recurring software vulnerabilities.,"Root cause analysis RCA is required for all critical and repeat software vulnerabilities and is conducted using a standardized RCA template. Findings are reviewed by the AppSec and Development teams and include contributing factors, systemic issues, and mitigation steps.

Recurring vulnerability themes are tracked in the Secure Coding Insights Report and used to guide developer training and control enhancements. RCA outcomes are presented during monthly Engineering Governance meetings and reviewed quarterly by the Risk Committee."
120,120,disruptionRisk,Disruption Risk,Outline your organization's approach to conducting risk assessments that evaluate the likelihood and impact of potential disruptions.,"Operational disruption risks are evaluated semi-annually through structured Resilience Risk Assessments, which include scenario analysis for infrastructure failure, vendor disruption, cyber incidents, and natural disasters. Each risk is scored for likelihood and impact, with mitigation plans documented in the Operational Resilience Register.

Mitigations are reviewed during Business Continuity Steering Committee meetings and tested during resilience exercises. Key risks and control effectiveness metrics are included in board-level risk reporting."
